username,numPosts,numFollowers,numFollowing
andy_smith010,310,12,7
sjones99,139,5,0
DavidH87,308,5,5
optionz13,1943,49,20
kenser80,74,33,63
KateHarper,71,6,41
TDANSherrod,15,5779,15
jeansbond,888,14,39
QuantifiedAlpha_Value,624,11497,12
traderwarren,3204,160,11
aduncan23,113,18,31
middleman,5327,55,12
FcK_CLDN777,11076,206,42
BuyFear,14,42,48
Flynt2012,3069,117,51
WolfWayne,852,41,4
hermano26,20,5,59
MaxxPayme,2269,183,10
dennism,3096,164,12
BooDog,10523,115,132
bojanglez,512,12,33
KeySpeculator,1672,277,41
4RingsPatsRule,1374,22,39
Ciao,2307,5,12
Daquess,211,21,47
fibarchie,2026,313,57
mazlat10,917,15,15
PCMourao,3547,93,35
pierrules,3732,187,8
Ender7791,727,39,0
PhamSterZzZ,4300,99,26
GAIJINTRADING,546,10,3
BIOTT,390,17,87
EquitiesResearch,1762,984,12
SortaLegendary,15863,552,140
TuzzReport,695,14413,20
JPBV,1018,42,31
inverbios,350,64,28
mstiles,1661,8,3
biogemfinder,2248,154,2
Dan10,149,8,70
Shanayze,2375,49,29
Study_for_dollars,1468,149,6
tyrion,4569,68,35
mikecorso,127,6,17
Rogue1,1554,100,8
oghowie,6288,60,43
Kala,4285,45,58
BehavioralEdge,6124,4459,57
gman214,1126,30,42
montan123,326,29,41
Smalls_62,1574,25,4
Tackful1,206,5,26
Mikoul,3575,88,10
ManOnAHedge,270,8,65
NatesNotes,1549,251,2
ClifftonHanger,181,15,13
biochem,3192,170,19
toma1,482,12,14
wellman,1410,38,27
Risdenz,197,29,22
Market_Disciple,282,45,25
Miracle007,1788,30,12
jamison,1576,142,12
ClassicalChartist,170,3191,2
RespectRiskManagement,4482,1020,17
StealsNotDeals,290,24,2
rodlong,2562,36,2
Calvary_Reigns,534,69,16
j_arthur_squiers,955,18,8
Mastercharts,1012,284,20
252io,1778,1594,29
TopFlightTrades,1675,430,4
badcharts,400,43,0
Gopher_It,1553,18,62
IntoThinAir1,1023,56,41
Steaksauce,1481,26,23
ExponentialPicks,1624,79,46
AlgoStockDoc,3187,818,55
HarrisMarketTrends,1635,156,70
Jack_M,862,38,62
MrX,8147,140,22
PeterDylan,3345,108,31
Maxjrose,3186,53,47
Johnnie_Bravo,2674,56,1
KeeneOnMarket,192,155,19
RipeTrade,55,49,0
keeblerelf3,2221,235,4
The_Shua,103,10,63
RiseFallRepeat,2745,72,80
frogex,196,3241,9
M22,443,11,19
Liauska,14,10,46
jameskim1980,3981,146,26
Signal_Bar,1119,2102,13
Solidessentials,1431,16,0
BlakeYerian,1159,116,19
NOHe,9668,134,8
ThunderChocha,78,15,0
TheTradingNinja,3642,354,26
noelud,1722,24,60
bullzonetrader,114,155,25
KailuaChick,458,49,36
tonanthony,2282,67,67
TheSpecial,5140,128,113
ForexYell,13,94,30
aram68,1002,15,9
LavaStocks,4437,54,0
insider101,1026,22,72
traderspress,108,53,9
Blejsmith,1245,10,5
nohakpak,677,40,63
vik_canadian,6722,178,25
southeuro,8782,132,164
Aikenjp,577,20,62
Open_Markets,12,275,14
msblanchetfx,11,12,4
ChelseaV,241,6,32
smallcapbear,82,47,12
FREESTOCKPICK,8,87,23
TheWizard,2107,34,59
adidamty,2187,24,10
iTradeLikeJesse,1147,4640,25
Radar_Screen,2199,67,59
sumotrader,7,101,0
The_Dude_,601,29,0
Mactd83,14858,129,16
smartmoney1,458,12,70
blackfox,126,69,115
mashti,3202,23,61
tickerstock,43,120,74
ThunderFarts,698,6,11
keryxbiopharma,16,130,17
confidentgirl,29,6,48
Traderific,3259,99,1
ohnicematt,3511,88,17
GeneralOfArmies,2775,54,9
TwerkMaster,4028,101,21
1hundredozgold,903,77,11
incometrading,247,19,32
etruckerdave,2050,15,20
Laststock007,502,156,6
EvergreenOldboy,3607,20,29
EvolutionTradingLLC,1731,65,13
rjrj,275,15,19
KoolerAid,32,60,49
DamnGoodPicks,6,102,32
InChartsITrust,978,93,72
realtimetrade,20,32,9
simpleplan,1460,30,35
